Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1920/04/15,1920,04,15,BOS192004150,Washington Senators,Boston Red Sox,Fenway Park,Tommy Connolly,George Moriarty,(none),(none),,,Tommy Connolly;George Moriarty,,
1920/04/17,1920,04,17,BOS192004170,Washington Senators,Boston Red Sox,Fenway Park,George Moriarty,Tommy Connolly,(none),(none),,,George Moriarty;Tommy Connolly,,
1920/04/19,1920,04,19,BOS192004191,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,George Moriarty,(none),(none),,,Tommy Connolly;George Moriarty,,
1920/04/19,1920,04,19,BOS192004192,New York Yankees,Boston Red Sox,Fenway Park,George Moriarty,Tommy Connolly,(none),(none),,,George Moriarty;Tommy Connolly,,
1920/04/20,1920,04,20,BOS192004200,New York Yankees,Boston Red Sox,Fenway Park,Tommy Connolly,George Moriarty,(none),(none),,,Tommy Connolly;George Moriarty,,
1920/05/06,1920,05,06,BOS192005060,Philadelphia Athletics,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/05/07,1920,05,07,BOS192005070,Philadelphia Athletics,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/05/10,1920,05,10,BOS192005100,Philadelphia Athletics,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/05/12,1920,05,12,BOS192005120,Cleveland Guardians,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/05/15,1920,05,15,BOS192005150,Chicago White Sox,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/05/17,1920,05,17,BOS192005170,Chicago White Sox,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/05/18,1920,05,18,BOS192005180,Chicago White Sox,Boston Red Sox,Fenway Park,Dick Nallin,Bill Dinneen,(none),(none),,,Dick Nallin;Bill Dinneen,,
1920/05/19,1920,05,19,BOS192005190,Chicago White Sox,Boston Red Sox,Fenway Park,Bill Dinneen,Dick Nallin,(none),(none),,,Bill Dinneen;Dick Nallin,,
1920/05/20,1920,05,20,BOS192005200,Detroit Tigers,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
1920/05/21,1920,05,21,BOS192005210,Detroit Tigers,Boston Red Sox,Fenway Park,Brick Owens,Ollie Chill,(none),(none),,,Brick Owens;Ollie Chill,,
1920/05/24,1920,05,24,BOS192005240,St.Louis Browns,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
1920/05/25,1920,05,25,BOS192005250,St.Louis Browns,Boston Red Sox,Fenway Park,Brick Owens,Ollie Chill,(none),(none),,,Brick Owens;Ollie Chill,,
1920/05/26,1920,05,26,BOS192005260,St.Louis Browns,Boston Red Sox,Fenway Park,Ollie Chill,Brick Owens,(none),(none),,,Ollie Chill;Brick Owens,,
1920/05/27,1920,05,27,BOS192005270,New York Yankees,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,Bob Shawkey ejected by George Hildebrand,
1920/05/28,1920,05,28,BOS192005280,New York Yankees,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,,
1920/05/29,1920,05,29,BOS192005291,New York Yankees,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,,
1920/05/29,1920,05,29,BOS192005292,New York Yankees,Boston Red Sox,Fenway Park,Billy Evans,George Hildebrand,(none),(none),,,Billy Evans;George Hildebrand,,
1920/05/31,1920,05,31,BOS192005311,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Hildebrand,Billy Evans,(none),(none),,,George Hildebrand;Billy Evans,,
