Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1940/04/19,1940,04,19,BOS194004191,Philadelphia Athletics,Boston Red Sox,Fenway Park,George Pipgras,Bill Summers,(none),John Quinn,,,George Pipgras;Bill Summers;John Quinn,,
1940/04/19,1940,04,19,BOS194004192,Philadelphia Athletics,Boston Red Sox,Fenway Park,Bill Summers,John Quinn,(none),George Pipgras,,,Bill Summers;John Quinn;George Pipgras,,
1940/04/23,1940,04,23,BOS194004230,Washington Senators,Boston Red Sox,Fenway Park,John Quinn,George Pipgras,(none),Bill Summers,,,John Quinn;George Pipgras;Bill Summers,,
1940/04/24,1940,04,24,BOS194004240,Washington Senators,Boston Red Sox,Fenway Park,George Pipgras,Bill Summers,(none),John Quinn,,,George Pipgras;Bill Summers;John Quinn,,
1940/04/26,1940,04,26,BOS194004260,New York Yankees,Boston Red Sox,Fenway Park,George Moriarty,Joe Rue,Cal Hubbard,Eddie Rommel,,,George Moriarty;Joe Rue;Cal Hubbard;Eddie Rommel,,
1940/04/30,1940,04,30,BOS194004300,Chicago White Sox,Boston Red Sox,Fenway Park,George Pipgras,Bill Summers,(none),John Quinn,,,George Pipgras;Bill Summers;John Quinn,,
1940/05/01,1940,05,01,BOS194005010,Chicago White Sox,Boston Red Sox,Fenway Park,Bill Summers,John Quinn,(none),George Pipgras,,,Bill Summers;John Quinn;George Pipgras,,
1940/05/03,1940,05,03,BOS194005030,St.Louis Browns,Boston Red Sox,Fenway Park,John Quinn,George Pipgras,(none),Bill Summers,,,John Quinn;George Pipgras;Bill Summers,,
1940/05/04,1940,05,04,BOS194005040,St.Louis Browns,Boston Red Sox,Fenway Park,George Pipgras,Bill Summers,(none),John Quinn,,,George Pipgras;Bill Summers;John Quinn,,
1940/05/05,1940,05,05,BOS194005050,Cleveland Indians,Boston Red Sox,Fenway Park,George Moriarty,Cal Hubbard,Eddie Rommel,Joe Rue,,,George Moriarty;Cal Hubbard;Eddie Rommel;Joe Rue,,
1940/05/06,1940,05,06,BOS194005060,Cleveland Indians,Boston Red Sox,Fenway Park,Cal Hubbard,Eddie Rommel,Joe Rue,George Moriarty,,,Cal Hubbard;Eddie Rommel;Joe Rue;George Moriarty,,
1940/05/07,1940,05,07,BOS194005070,Cleveland Indians,Boston Red Sox,Fenway Park,Eddie Rommel,Joe Rue,George Moriarty,Cal Hubbard,,,Eddie Rommel;Joe Rue;George Moriarty;Cal Hubbard,,
1940/05/09,1940,05,09,BOS194005090,Detroit Tigers,Boston Red Sox,Fenway Park,George Moriarty,Cal Hubbard,Eddie Rommel,Joe Rue,,,George Moriarty;Cal Hubbard;Eddie Rommel;Joe Rue,,
1940/05/26,1940,05,26,BOS194005260,New York Yankees,Boston Red Sox,Fenway Park,Harry Geisel,Bill Grieve,(none),Steve Basil,,,Harry Geisel;Bill Grieve;Steve Basil,,
1940/06/01,1940,06,01,BOS194006010,Chicago White Sox,Boston Red Sox,Fenway Park,Lou Kolls,Bill McGowan,(none),Red Ormsby,,,Lou Kolls;Bill McGowan;Red Ormsby,,
1940/06/02,1940,06,02,BOS194006021,Chicago White Sox,Boston Red Sox,Fenway Park,Red Ormsby,Bill McGowan,(none),Lou Kolls,,,Red Ormsby;Bill McGowan;Lou Kolls,Mule Haas ejected by Red Ormsby,
1940/06/02,1940,06,02,BOS194006022,Chicago White Sox,Boston Red Sox,Fenway Park,Bill McGowan,Lou Kolls,(none),Red Ormsby,,,Bill McGowan;Lou Kolls;Red Ormsby,,
1940/06/03,1940,06,03,BOS194006030,Chicago White Sox,Boston Red Sox,Fenway Park,Lou Kolls,Red Ormsby,(none),Bill McGowan,,,Lou Kolls;Red Ormsby;Bill McGowan,,
1940/06/04,1940,06,04,BOS194006040,St.Louis Browns,Boston Red Sox,Fenway Park,Red Ormsby,Bill McGowan,(none),Lou Kolls,,,Red Ormsby;Bill McGowan;Lou Kolls,,
1940/06/05,1940,06,05,BOS194006050,St.Louis Browns,Boston Red Sox,Fenway Park,Bill McGowan,Lou Kolls,(none),Red Ormsby,,,Bill McGowan;Lou Kolls;Red Ormsby,,
1940/06/06,1940,06,06,BOS194006060,St.Louis Browns,Boston Red Sox,Fenway Park,Lou Kolls,Red Ormsby,(none),Bill McGowan,,,Lou Kolls;Red Ormsby;Bill McGowan,,
1940/06/07,1940,06,07,BOS194006070,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Grieve,Bill Summers,Steve Basil,Harry Geisel,,,Bill Grieve;Bill Summers;Steve Basil;Harry Geisel,,
1940/06/08,1940,06,08,BOS194006080,Detroit Tigers,Boston Red Sox,Fenway Park,Bill Summers,Steve Basil,Harry Geisel,Bill Grieve,,,Bill Summers;Steve Basil;Harry Geisel;Bill Grieve,,
1940/06/11,1940,06,11,BOS194006110,Cleveland Indians,Boston Red Sox,Fenway Park,Steve Basil,Harry Geisel,Bill Grieve,Bill Summers,,,Steve Basil;Harry Geisel;Bill Grieve;Bill Summers,,
1940/06/12,1940,06,12,BOS194006120,Cleveland Indians,Boston Red Sox,Fenway Park,Harry Geisel,Bill Grieve,Bill Summers,Steve Basil,,,Harry Geisel;Bill Grieve;Bill Summers;Steve Basil,,
1940/06/28,1940,06,28,BOS194006280,Washington Senators,Boston Red Sox,Fenway Park,George Moriarty,Bill Summers,(none),Eddie Rommel,,,George Moriarty;Bill Summers;Eddie Rommel,,
1940/06/29,1940,06,29,BOS194006290,Washington Senators,Boston Red Sox,Fenway Park,Bill Summers,Eddie Rommel,(none),George Moriarty,,,Bill Summers;Eddie Rommel;George Moriarty,,
