Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1933/07/06,1933,07,06,ALS193307060,National League All Stars,American League All Stars,Comiskey Park I,Bill Dinneen,Bill Klem,Bill McGowan,Cy Rigler,,,Bill Dinneen;Bill Klem;Bill McGowan;Cy Rigler,,Home: Bill Klem 5th inning;FirstBase: Bill McGowan 5th inning;SecondBase: Cy Rigler 5th inning;ThirdBase: Bill Dinneen 5th inning
1933/09/10,1933,09,10,ASW193309100,East All Stars,West All Stars,Comiskey Park I,,,,,,,,,
1934/07/10,1934,07,10,NLS193407100,American League All Stars,National League All Stars,Polo Grounds V,Cy Pfirman,Brick Owens,Dolly Stark,George Moriarty,,,Cy Pfirman;Brick Owens;Dolly Stark;George Moriarty,,Home: Brick Owens 5th inning;FirstBase: Dolly Stark 5th inning;SecondBase: George Moriarty 5th inning;ThirdBase: Cy Pfirman 5th inning
1934/08/26,1934,08,26,ASW193408260,East All Stars,West All Stars,Comiskey Park I,,,,,,,,,
1935/07/08,1935,07,08,ALS193507080,National League All Stars,American League All Stars,Cleveland Stadium,Red Ormsby,George Magerkurth,Harry Geisel,Ziggy Sears,,,Red Ormsby;George Magerkurth;Harry Geisel;Ziggy Sears,,Home: George Magerkurth 5th inning;FirstBase: Harry Geisel 5th inning;SecondBase: Ziggy Sears 5th inning;ThirdBase: Red Ormsby 5th inning
1935/08/11,1935,08,11,ASW193508110,East All Stars,West All Stars,Comiskey Park I,John Craig,Cool Turner,Mo Harris,Judy Gans,,,John Craig;Cool Turner;Mo Harris;Judy Gans,,
1936/07/07,1936,07,07,NLS193607070,American League All Stars,National League All Stars,Braves Field,Beans Reardon,Bill Summers,Bill Stewart,Lou Kolls,,,Beans Reardon;Bill Summers;Bill Stewart;Lou Kolls,,Home: Bill Summers 5th inning;FirstBase: Bill Stewart 5th inning;SecondBase: Lou Kolls 5th inning;ThirdBase: Beans Reardon 5th inning
1936/08/23,1936,08,23,ASW193608230,East All Stars,West All Stars,Comiskey Park I,Roy Young,Billy Donaldson,Mo Harris,John Craig,,,Roy Young;Billy Donaldson;Mo Harris;John Craig,,
1937/07/07,1937,07,07,ALS193707070,National League All Stars,American League All Stars,Griffith Stadium,Bill McGowan,Babe Pinelli,John Quinn,George Barr,,,Bill McGowan;Babe Pinelli;John Quinn;George Barr,,Home: George Barr 5th inning;FirstBase: John Quinn 5th inning;SecondBase: Babe Pinelli 5th inning;ThirdBase: Bill McGowan 5th inning
1937/08/08,1937,08,08,ASW193708080,East All Stars,West All Stars,Comiskey Park I,Billy Donaldson,Cool Turner,Virgil Blueitt,Mo Harris,,,Billy Donaldson;Cool Turner;Virgil Blueitt;Mo Harris,,
1937/09/19,1937,09,19,NAL193709190,NNL,NAL,South Side Park III,Virgil Blueitt,Mo Harris,,,,,Virgil Blueitt;Mo Harris,,
1938/07/06,1938,07,06,NLS193807060,American League All Stars,National League All Stars,Crosley Field,Bill Klem,Harry Geisel,Lee Ballanfant,Steve Basil,,,Bill Klem;Harry Geisel;Lee Ballanfant;Steve Basil,,
1938/08/21,1938,08,21,ASW193808210,East All Stars,West All Stars,Comiskey Park I,,,,,,,,,
1938/09/24,1938,09,24,NNL193809240,NAL,NNL,44th and Parkside,,,,,,,,,
1938/09/25,1938,09,25,NNL193809250,NAL,NNL,Polo Grounds V,Fred McCreary,Pop Turner,Frank Forbes,John Craig,,,Fred McCreary;Pop Turner;Frank Forbes;John Craig,,
1938/10/02,1938,10,02,SAS193810020,North All Stars,South All Stars,Martin Stadium,,,,,,,,,
1939/07/11,1939,07,11,ALS193907110,National League All Stars,American League All Stars,Yankee Stadium I,Cal Hubbard,Larry Goetz,Eddie Rommel,George Magerkurth,,,Cal Hubbard;Larry Goetz;Eddie Rommel;George Magerkurth,,Home: George Magerkurth 5th inning;FirstBase: Eddie Rommel 5th inning;SecondBase: Larry Goetz 5th inning;ThirdBase: Cal Hubbard 5th inning
1939/08/06,1939,08,06,ASW193908060,East All Stars,West All Stars,Comiskey Park I,,,,,,,,,
1939/08/27,1939,08,27,ASE193908270,West All Stars,East All Stars,Yankee Stadium I,Virgil Blueitt,Roy Young,Fred McCreary,Cool Turner,,,Virgil Blueitt;Roy Young;Fred McCreary;Cool Turner,,
1940/07/09,1940,07,09,NLS194007090,American League All Stars,National League All Stars,Sportsman's Park III,Beans Reardon,George Pipgras,Bill Stewart,Steve Basil,,,Beans Reardon;George Pipgras;Bill Stewart;Steve Basil,,Home: Steve Basil 5th inning;FirstBase: Bill Stewart 5th inning;SecondBase: George Pipgras 5th inning;ThirdBase: Beans Reardon 5th inning
1940/08/18,1940,08,18,ASW194008180,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,rogab201,Fred McCreary,harrm201,,,Virgil Blueitt;rogab201;Fred McCreary;harrm201,,
1941/07/08,1941,07,08,ALS194107080,National League All Stars,American League All Stars,Tiger Stadium,Bill Summers,Lou Jorda,Bill Grieve,Babe Pinelli,,,Bill Summers;Lou Jorda;Bill Grieve;Babe Pinelli,,Home: Babe Pinelli 5th inning;FirstBase: Bill Grieve 5th inning;SecondBase: Lou Jorda 5th inning;ThirdBase: Bill Summers 5th inning
1941/07/27,1941,07,27,ASW194107270,East All Stars,West All Stars,Comiskey Park I,Fred McCreary,Cool Turner, Shutt,Greenie Walls,,,Fred McCreary;Cool Turner; Shutt;Greenie Walls,,
1942/07/06,1942,07,06,NLS194207060,American League All Stars,National League All Stars,Polo Grounds V,Lee Ballanfant,Ernie Stewart,Al Barlick,Bill McGowan,,,Lee Ballanfant;Ernie Stewart;Al Barlick;Bill McGowan,,Home: Bill McGowan 5th inning;FirstBase: Lee Ballanfant 5th inning;SecondBase: Ernie Stewart 5th inning;ThirdBase: Al Barlick 5th inning
1942/08/16,1942,08,16,ASW194208160,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Greenie Walls,John Craig,Fred McCreary,,,Virgil Blueitt;Greenie Walls;John Craig;Fred McCreary,,
1942/08/18,1942,08,18,ASW194208180,East All Stars,West All Stars,Cleveland Stadium,John Craig,Harry Walker,Fred McCreary, Banaham,,,John Craig;Harry Walker;Fred McCreary; Banaham,,
1943/07/13,1943,07,13,ALS194307130,National League All Stars,American League All Stars,Shibe Park,Eddie Rommel,Jocko Conlan,Joe Rue,Tom Dunn,,,Eddie Rommel;Jocko Conlan;Joe Rue;Tom Dunn,,Home: Tom Dunn 5th inning;FirstBase: Joe Rue 5th inning;SecondBase: Jocko Conlan 5th inning;ThirdBase: Eddie Rommel 5th inning
1943/08/01,1943,08,01,ASW194308010,East All Stars,West All Stars,Comiskey Park I,Virgil Blueitt,Fred McCreary,Harry Walker,Frank Forbes,,,Virgil Blueitt;Fred McCreary;Harry Walker;Frank Forbes,,
1943/09/26,1943,09,26,SAS194309260,North All Stars,South All Stars,Pelican Stadium,,,,,,,,,
