Date,Year,Month,Day,RetroID,Visitor,Home,Site,Home,FirstBase,SecondBase,ThirdBase,LeftField,RightField,AllUmpires,Ejections,Changes
1903/10/01,1903,10,01,BOS190310010,Pittsburgh Pirates,Boston Red Sox,Huntington Avenue Baseball Grounds,Hank O'Day,Tommy Connolly,,,,,Hank O'Day;Tommy Connolly,,
1903/10/02,1903,10,02,BOS190310020,Pittsburgh Pirates,Boston Red Sox,Huntington Avenue Baseball Grounds,Hank O'Day,Tommy Connolly,,,,,Hank O'Day;Tommy Connolly,,
1903/10/03,1903,10,03,BOS190310030,Pittsburgh Pirates,Boston Red Sox,Huntington Avenue Baseball Grounds,Hank O'Day,Tommy Connolly,,,,,Hank O'Day;Tommy Connolly,,
1903/10/06,1903,10,06,PIT190310060,Boston Red Sox,Pittsburgh Pirates,Exposition Park III,Hank O'Day,Tommy Connolly,,,,,Hank O'Day;Tommy Connolly,,
1903/10/07,1903,10,07,PIT190310070,Boston Red Sox,Pittsburgh Pirates,Exposition Park III,Tommy Connolly,Hank O'Day,,,,,Tommy Connolly;Hank O'Day,,
1903/10/08,1903,10,08,PIT190310080,Boston Red Sox,Pittsburgh Pirates,Exposition Park III,Hank O'Day,Tommy Connolly,,,,,Hank O'Day;Tommy Connolly,,
1903/10/10,1903,10,10,PIT190310100,Boston Red Sox,Pittsburgh Pirates,Exposition Park III,Tommy Connolly,Hank O'Day,,,,,Tommy Connolly;Hank O'Day,,
1903/10/13,1903,10,13,BOS190310130,Pittsburgh Pirates,Boston Red Sox,Huntington Avenue Baseball Grounds,Hank O'Day,Tommy Connolly,,,,,Hank O'Day;Tommy Connolly,,
1905/10/09,1905,10,09,PHA190510090,New York Giants,Philadelphia Athletics,Columbia Park,Jack Sheridan,Hank O'Day,,,,,Jack Sheridan;Hank O'Day,,
1905/10/10,1905,10,10,NY1190510100,Philadelphia Athletics,New York Giants,Polo Grounds IV,Hank O'Day,Jack Sheridan,,,,,Hank O'Day;Jack Sheridan,,
1905/10/12,1905,10,12,PHA190510120,New York Giants,Philadelphia Athletics,Columbia Park,Jack Sheridan,Hank O'Day,,,,,Jack Sheridan;Hank O'Day,,
1905/10/13,1905,10,13,NY1190510130,Philadelphia Athletics,New York Giants,Polo Grounds IV,Hank O'Day,Jack Sheridan,,,,,Hank O'Day;Jack Sheridan,,
1905/10/14,1905,10,14,NY1190510140,Philadelphia Athletics,New York Giants,Polo Grounds IV,Jack Sheridan,Hank O'Day,,,,,Jack Sheridan;Hank O'Day,,
1906/10/09,1906,10,09,CHN190610090,Chicago White Sox,Chicago Cubs,West Side Grounds,Jim Johnstone,Silk O'Loughlin,,,,,Jim Johnstone;Silk O'Loughlin,,
1906/10/10,1906,10,10,CHA190610100,Chicago Cubs,Chicago White Sox,South Side Park III,Silk O'Loughlin,Jim Johnstone,,,,,Silk O'Loughlin;Jim Johnstone,,
1906/10/11,1906,10,11,CHN190610110,Chicago White Sox,Chicago Cubs,West Side Grounds,Jim Johnstone,Silk O'Loughlin,,,,,Jim Johnstone;Silk O'Loughlin,,
1906/10/12,1906,10,12,CHA190610120,Chicago Cubs,Chicago White Sox,South Side Park III,Silk O'Loughlin,Jim Johnstone,,,,,Silk O'Loughlin;Jim Johnstone,,
1906/10/13,1906,10,13,CHN190610130,Chicago White Sox,Chicago Cubs,West Side Grounds,Jim Johnstone,Silk O'Loughlin,,,,,Jim Johnstone;Silk O'Loughlin,,
1906/10/14,1906,10,14,CHA190610140,Chicago Cubs,Chicago White Sox,South Side Park III,Silk O'Loughlin,Jim Johnstone,,,,,Silk O'Loughlin;Jim Johnstone,,
